# Chinese → Japanese offline glosses
# Source: open-dict-data/wikidict-ja (Wikidata interwiki links)
# Upstream: https://github.com/open-dict-data/wikidict-ja
# License: CC0 1.0 Universal
# Scope: pure-Han entries present in bundled Moran dictionaries
# Format: Chinese<TAB>Japanese; multiple Japanese forms use ・
# Generated: 2026-08-28
吖丁啶	アゼチジン
阿马尔菲	アマルフィ
阿曼	オマーン
阿美族	アミ族
阿蒙	アメン
阿弥陀佛	阿弥陀如来
阿米巴痢疾	アメーバ赤痢
阿米什人	アーミッシュ
阿米特	アメミット
阿莫西林	アモキシシリン
阿姆达尔定律	アムダールの法則
阿姆河	アムダリヤ川
阿姆利则	アムリトサル
阿姆斯特丹	アムステルダム
阿姆斯特朗	アームストロング
阿穆尔州	アムール州
阿那含	不還
阿纳德尔	アナディリ
阿纳姆	アーネム
阿纳希特	アナヒット
阿南西	アナンシ
阿难	阿難
阿讷西	アヌシー
阿尼亚	アーニャ
阿努比斯	アヌビス
阿帕奇	アパッチ (曖昧さ回避)
阿佩普	アペプ
阿皮亚	アピア
阿普唑仑	アルプラゾラム
阿奇霉素	アジスロマイシン
阿耆尼	アグニ
阿契美尼德王朝	アケメネス朝
阿钦安阿纳雨林	アツィナナナの雨林
阿青	阿青
阿荣旗	アロン旗
阿瑞斯	アレース
阿撒托斯	アザトース
阿萨姆邦	アッサム州
阿萨神族	アース神族
阿塞拜疆	アゼルバイジャン
阿森	アッセン
阿森纳足球俱乐部	アーセナルFC
阿森松岛	アセンション島
阿僧祇	阿僧祇
阿什哈巴德	アシガバート
阿什兰	アシュランド
阿什维尔	アシュビル (ノースカロライナ州)
阿史那	アセナ
阿司匹林	アセチルサリチル酸
阿斯巴甜	アスパルテーム
阿斯蒂	アスティ
阿斯加德	アースガルズ
阿斯克勒庇俄斯	アスクレーピオス
阿斯摩太	アスモデウス
阿斯塔	アシュター (宇宙人)
阿斯塔尔塔	アスタルト
阿斯图里亚斯	アストゥリアス州
阿斯旺	アスワン
阿闼婆吠陀	アタルヴァ・ヴェーダ
阿糖胞苷	シタラビン
阿特拉斯	アトラース
阿特里	アトリ (イタリア)
阿特柔斯	アトレウス
阿提卡	アッティカ
阿提拉	アッティラ
阿提斯	アッティス
阿图岛	アッツ島
阿图什市	アルトゥシュ市
阿托品	アトロピン
阿瓦隆	アヴァロン
阿瓦鲁阿	アバルア
阿瓦士	アフヴァーズ
阿瓦提县	アーバード県
阿威罗	アヴェイロ
阿维拉	アビラ
阿魏	アサフェティダ
阿魏酸	フェルラ酸
阿西西	アッシジ
阿昔洛韦	アシクロビル
阿雅克肖	アジャクシオ
阿亚拉	アジャラ
阿伊努人	アイヌ
阿伊莎	アーイシャ・ビント・アブー・バクル
阿英	阿英
阿尤布王朝	アイユーブ朝
阿尤恩	アイウン
阿瑜陀耶	テーサバーンナコーン・プラナコーンシーアユッタヤー
阿育吠陀	アーユルヴェーダ
阿育王	アショーカ王
阿育王寺	阿育王寺
阿元	お元
阿约提亚	アヨーディヤー
阿扎尔	アジャリア自治共和国
阿紫	阿紫
锕	アクチニウム
锕系元素	アクチノイド
哀帝	哀帝
埃勃拉	エブラ
埃博拉出血热	エボラ出血熱
埃德	エーデ
埃德蒙顿	エドモントン
埃迪卡拉纪	エディアカラン
埃尔福特	エアフルト
埃尔克森	エウケソン
埃尔马斯	エルマス
埃尔南德斯	エルナンデス
埃尔热	エルジェ
埃尔斯米尔岛	エルズミーア島
埃夫勒	エヴルー
埃癸斯	アイギス
埃及	エジプト
埃及航空	エジプト航空
埃及金字塔	エジプトのピラミッド
埃及历史	エジプトの歴史
埃及人	エジプト民族
埃及神话	エジプト神話
