# Chinese → Japanese offline glosses
# Source: open-dict-data/wikidict-ja (Wikidata interwiki links)
# Upstream: https://github.com/open-dict-data/wikidict-ja
# License: CC0 1.0 Universal
# Scope: pure-Han entries present in bundled Moran dictionaries
# Format: Chinese<TAB>Japanese; multiple Japanese forms use ・
# Generated: 2026-08-28
吖丁啶	アゼチジン
城之内克也	城之内克也
城中城	シティ・センター (ラスベガス)
城中大盗	ザ・タウン
城中区	城中区
城子河区	城子河区
乘波体	ウェイブライダー
乘法	乗法
乘法表	九九
乘法器	乗算器
乘客	旅客
乘龙	ラプラス (ポケモン)
乘着歌声的翅膀	歌の翼に
惩罚	処罰
程璧光	程璧光
程秉	程秉
程大位	程大位
程德全	程徳全
程菲	程菲
程嘉美	野本美穂
程普	程普
程千里	程千里
程武	程武
程序	プロシージャ
程序错误	バグ
程序法	訴訟法
程序设计	プログラミング (コンピュータ)
程序员	プログラマ
程序员节	プログラマーの日
程瑶田	程瑤田
程咬金	程知節
程颐	程頤
程永华	程永華
程昱	程イク
程月磊	程月磊
程朱理学	朱子学
澂江县	澂江県
澄城县	澄城県
澄海区	澄海区
澄迈县	澄邁県
澄清湖	澄清湖
橙	オレンジ
橙腹叶鹎	アカハラコノハドリ
橙色	オレンジ色
橙色革命	オレンジ革命
橙天嘉禾	ゴールデン・ハーベスト
橙汁	オレンジジュース
吃豆人	パックマン
吃水深度	喫水
蚩尤	蚩尤
眵	目やに
螭	チ首
螭吻	チ吻
池	プール (曖昧さ回避)
池昌旭	チ・チャンウク
池袋站	池袋駅
池东沅	池東ウォン
池井户润	池井戸潤
池鹭	アカガシラサギ
池内博之	池内博之
池上	池上
池上茜	池上茜
池松壮亮	池松壮亮
池塘	池
池田大作	池田大作
池田和美	池田和美
池田晶子	池田晶子 (アニメーター)
池田理代子	池田理代子
池田秀一	池田秀一
池姓	池 (姓)
池珍熙	チ・ジニ
池州市	池州市
迟浩田	遅浩田
迟万春	遅万春
茌平县	シ平県
持不同政见者	反体制
持份者	ステークホルダー
持月玲依	持月玲依
篪	チ (管楽器)
尺八	尺八
尺骨	尺骨
尺规作图	定規とコンパスによる作図
尺子	定規
齿鲸	ハクジラ亜目
齿轮	歯車
齿轮泵	歯車ポンプ
齿音	歯音
齿龈颤音	歯茎ふるえ音
齿龈音	歯茎音
彳部	彳部
赤壁市	赤壁市
赤潮	赤潮
赤城山	赤城山 (曖昧さ回避)
赤城县	赤城県
赤川次郎	赤川次郎
赤道	赤道
赤道几内亚	赤道ギニア
赤道逆流	赤道反流
赤道仪	ドイツ式赤道儀
赤翡翠	アカショウビン
赤峰市	赤峰市
赤瓜礁	ジョンソン南礁
赤狐	アカギツネ
赤化	赤化
赤经	赤経
赤精子	赤精子
赤颈鸫	ノドグロツグミ
赤坎区	赤坎区
赤裸羔羊	香港淫殺倶楽部/ポイズン・ガールズ あぶないカ・ラ・ダ
赤裸特工	レディ・ウェポン
赤麻鸭	アカツクシガモ
赤木刚宪	赤木剛憲
赤崎千夏	赤崎千夏
赤崎勇	赤崎勇
赤色黎明	レッド・ドーン
赤色要塞	特殊部隊ジャッカル
赤舌	赤舌
赤水河	赤水河
赤水市	赤水市
赤松	アカマツ
赤松健	赤松健
赤穗城	赤穂城
赤塔	チタ
赤铁矿	赤鉄鉱
赤兔马	赤兎馬
赤纬	赤緯
赤西仁	赤西仁
赤霞珠	カベルネ・ソーヴィニヨン
赤藓醇	エリトリトール
赤藓红	エリスロシン
赤藓糖	エリトロース
赤藓酮糖	エリトルロース
赤小豆	タケアズキ
赤影战士	闇の仕事人 KAGE
赤羽	赤羽
赤羽根健治	赤羽根健治
赤芝	霊芝
赤柱	赤柱
赤子之心	ニューハート
赤字	黒字と赤字
赤足	裸足
翅膀	翼
翅果	翼果
敕勒	高車
充分就业	完全雇用
充气船	インフレータブルボート
充足理由律	充足理由律
冲车	破城槌
冲动	衝動
冲方丁	冲方丁
冲锋枪	短機関銃
冲积平原	沖積平野
冲激响应	インパルス応答
冲量	力積
冲脉	衝脈
虫	BUG
虫部	虫部
虫虫危机	バグズ・ライフ
虫洞	ワームホール
重庆北站	重慶北駅
重庆大轰炸	重慶爆撃
重庆电视台	重慶電視台
重庆轨道交通	重慶軌道交通
重庆航空	重慶航空
重庆江北国际机场	重慶江北国際空港
重庆森林	恋する惑星
重庆市	重慶市
重庆站	重慶駅
崇安区	崇安区
崇川区	崇川区
崇德	崇徳
崇德天皇	崇徳天皇
崇福寺	崇福寺
崇高	崇高
崇礼县	崇礼県
崇明岛	崇明島
崇明县	崇明県
崇宁	崇寧
崇仁县	崇仁県
崇尚麻里子	上からマリコ
崇文门站	崇文門駅
崇文区	崇文区
崇信县	崇信県
崇阳县	崇陽県
崇义县	崇義県
崇祯	崇禎
崇州市	崇州市
崇左市	崇左市
宠物	ペット
宠物店男孩	ペット・ショップ・ボーイズ
抽动障碍	チック症
抽象	アブストラクト
抽象代数	抽象代数学
抽象废话	アブストラクト・ナンセンス
抽象工厂	Abstract Factory パターン
抽象化	抽象化
抽脂	脂肪吸引
仇恨	憎悪
仇恨罪行	ヘイトクライム
仇外	外国人嫌悪
仇云波	ロビン・ショウ
丑女贝蒂	アグリー・ベティ
丑小鸭	みにくいアヒルの子
臭椿	ニワウルシ
臭豆腐	臭豆腐
臭氧	オゾン
臭氧层	オゾン層
臭鼬工厂	スカンクワークス
出版	出版
出版社	出版社
出包王女	To LOVEる -とらぶる-
出家	出家
出口贸易	輸出
出木杉英才	出木杉英才
出前一丁	出前一丁
出神入化	グランド・イリュージョン (映画)
出生率	出生率
出血	出血
出芽生殖	出芽
初版	初版
初等函数	初等関数
初等数学	算数
初级中学	中学校
初恋	First Love
初恋之音	初恋ノオト
初美理音	初美りおん
初梦	初夢
初始	初始
初学记	初学記
初演	デビュー
初音	初音
初音未来的消失	初音ミクの消失
初元	初元
初转法轮	初転法輪
樗里子	樗里疾
除草剂	除草剤
除法	除法
除法器	除算 (デジタル)
除号	除算記号
除权	株式分割
除夕	大晦日
除以零	ゼロ除算
除子	因子 (代数幾何学)
滁州市	ジョ州市
滁州站	ジョ州駅
锄头	鍬
橱柜	食器棚
杵	杵
储备货币	準備通貨
储光羲	儲光羲
储君	皇太子
储能技术	エネルギー貯蔵
储蓄	節約
楮	ヒメコウゾ
楚	楚
楚成王	成王 (楚)
楚辞	楚辞
楚悼王	悼王 (楚)
楚格尼尼	トルガナンナ
楚共王	共王 (楚)
楚国	楚 (春秋)
楚汉战争	楚漢戦争
楚简王	簡王 (楚)
楚考烈王	考烈王 (楚)
楚科奇海	チュクチ海
楚留香	楚留香
楚玛尔河	楚瑪爾河
楚穆王	穆王 (楚)
楚平王	平王 (楚)
楚武王	武王 (楚)
楚雄市	楚雄市
楚雄彝族自治州	楚雄イ族自治州
楚幽王	幽王 (楚)
楚昭王	昭王 (楚)
楚庄王	荘王 (楚)
褚民谊	チョ民誼
褚遂良	チョ遂良
褚玉璞	チョ玉璞
处方	処方箋
处女	処女
处女膜	処女膜
处暑	処暑
畜牧业	畜産
畜生	畜生
触发器	フリップフロップ
触摸板	タッチパッド
触摸未来	TOUCH/タッチ
巛部	巛部
川菜	四川料理
川藏铁路	川蔵線
川村万梨阿	川村万梨阿
川村真矢	川村まや
川端康成	川端康成
川汉铁路	川漢線
川汇区	川匯区
川金丝猴	キンシコウ
川津泰彦	川津泰彦
川久保玲	川久保玲
川剧	川劇
川口春奈	川口春奈
川口能活	川口能活
川口市	川口市
川崎	川崎
川崎市	川崎市
川崎逸朗	川崎逸朗
川黔铁路	川黔線
川沙县	川沙県
川上稔	川上稔
川田真美	川田まみ
川陀	トランター
川芎	川芎
川越城	川越城
氚	三重水素
穿刺	串刺し
穿甲弹	徹甲弾
穿山甲	センザンコウ
穿梭巴士	シャトルバス
穿透幻影的太阳	幻影ヲ駆ケル太陽
穿越火线	クロスファイア (オンラインゲーム)
穿越时空	クロノ・クロス
穿越宇宙的少女	宇宙をかける少女
传播媒体	メディア (媒体)
传播学	コミュニケーション学
传递闭包	推移閉包
传递函数	伝達関数法
传粉	受粉
传感器	センサ
传国玺	伝国璽
传记片	伝記映画
传教士	宣教師
传奇	伝奇
传热	伝熱
传热系数	熱伝達率
传输	伝送
传输层	トランスポート層
传输控制协议	Transmission Control Protocol
传说	伝説
传颂之物	うたわれるもの
传统	伝統
传统动画	セルアニメ
传统医学	伝統医学
传习录	伝習録
船	船
船底座	りゅうこつ座
船帆座	ほ座
船歌	舟歌
船山区	船山区
船首	船首
船尾	船尾
船尾座	とも座
船形帽	ギャリソンキャップ
船营区	船営区
串扰	漏話
串行通信	シリアル通信
窗	窓
窗口管理器	ウィンドウマネージャ
窗台	戸袋
床	ベッド
床垫	マットレス
闯关东	闖関東
创建角色	キャラクター作成 (RPG)
创可贴	絆創膏
创新科技	クリエイティブテクノロジー
创业公司	ベンチャー
创造社	創造社
吹箭	吹き矢
吹牛	大言壮語
吹石一惠	吹石一恵
吹田市	吹田市
垂拱	垂拱
垂帘听政	垂簾聴政
垂柳	シダレヤナギ
垂盆草	ツルマンネングサ
垂丝海棠	ハナカイドウ
垂直	垂直
垂直起降	垂直離着陸機
槌	槌
槌之子	ツチノコ
春饼	春餅
春川市	春川市
春分	春分
春分点	春分点
春宫图	春画
春化现象	春化
春季	春
春假	春休み
春酒	新年会
春卷	春巻き
春丽	春麗
春奈露娜	春奈るな
春秋	春秋 (曖昧さ回避)
春秋航空	春秋航空
春秋时期	春秋時代
春秋五霸	春秋五覇
春日	春の日
春日大社	春日大社
春日局	春日局
春日山城	春日山城
春日御影	春日みかげ
春申君	春申君
春天的足音	はるのあしおと
春武里府	チョンブリー県
春药	媚薬
春运	春運
春之歌	ハルウタ
春之祭	春の祭典
春之雪	春の雪 (映画)
椿	椿 (曖昧さ回避)
纯爱	純愛
纯爱咖啡厅	パルフェ 〜ショコラ second brew〜
纯粹理性批判	純粋理性批判
纯净水	精製水
纯钧	純鈞
纯律	純正律
纯音	純音
唇	唇
唇瓣	唇弁
唇形科	シソ科
唇音	唇音
莼菜	ジュンサイ
淳安县	淳安県
淳化县	淳化県
淳君	つんく♂
淳熙	淳熙
淳于髡	淳于コン
淳于琼	淳于瓊
淳于意	淳于意
醇	アルコール
辵部	チャク部
词法分析	字句解析
词根	語根
词汇学	語彙論
词形变化	語形変化
词语	語彙
词语搭配	連語
词组	句
茨厂街	プタリン通り
茨木童子	茨木童子
茨乃	茨乃
茨维考	ツヴィッカウ
茨欣瓦利	ツヒンヴァリ
瓷器	磁器
瓷砖	タイル
慈安太后	東太后
慈悲	慈悲
慈恩寺	慈恩寺
慈姑	クワイ
慈航道人	慈航道人
慈江道	慈江道
慈利县	慈利県
慈善	慈善
慈善家	フィランソロピー
慈溪市	慈渓市
慈禧太后	西太后
慈照寺	慈照寺
辞海	辞海
磁	磁性
磁暴	磁気嵐
磁层	磁気圏
磁带	磁気テープ
磁带机	テープドライブ
磁单极子	磁気単極子
磁导率	透磁率
磁感应强度	磁束密度
磁化率	磁化率
磁矩	磁気モーメント
磁力搅拌器	マグネチックスターラー
磁流体力学	磁気流体力学
磁盘碎片	フラグメンテーション
磁强计	磁気センサ
磁山文化	磁山文化
磁条	磁気ストライプカード
磁通量	磁束
磁县	磁県
磁悬浮	磁気浮上
磁致伸缩	磁歪
磁阻	磁気抵抗
雌二醇	エストラジオール
雌激素	エストロゲン
雌三醇	エストリオール
雌性	メス (動物)
此时此刻的我	今、そこにいる僕
此在	Dasein
次大陆	亜大陸
次方言	スラング
次黄嘌呤	ヒポキサンチン
次级贷款	サブプライムローン
次氯酸	次亜塩素酸
次氯酸钙	次亜塩素酸カルシウム
次氯酸盐	次亜塩素酸塩
次声波	低周波音
次文化	サブカルチャー
次溴酸	次亜臭素酸
刺	棘 (植物)
刺柏	セイヨウネズ
刺刀	銃剣
刺槐	ニセアカシア
刺角瓜	ツノニガウリ
刺青	入れ墨
刺楸	ハリギリ
刺身	刺身
刺史	刺史
刺桐	デイゴ
刺猬	ハリネズミ
刺猬索尼克	ソニック・ザ・ヘッジホッグ
刺五加	エゾウコギ
刺绣	刺繍
枞阳县	樅陽県
葱	ネギ
葱莲	タマスダレ
从化区	従化区
从化温泉	従化温泉
从江县	従江県
从天而降	落ちもの
丛集性头痛	群発頭痛
丛林奇兵	ランダウン ロッキング・ザ・アマゾン
丛台区	叢台区
琮	ソウ (玉器)
粗面岩	粗面岩
粗尾婴猴	オオガラゴ
促甲状腺激素	甲状腺刺激ホルモン
促卵泡激素	卵胞刺激ホルモン
促性腺激素释放激素	性腺刺激ホルモン放出ホルモン
促胰液素	セクレチン
促音	促音
猝死	突然死
醋	酢
醋酸纤维素	アセチルセルロース
簇	クラスタ (記憶媒体)
蹴鞠	蹴鞠
篡位	皇位簒奪
爨宝子碑	爨宝子碑
爨底下村	川底下村
崔成国	崔成国
崔丹尼尔	チェ・ダニエル
崔弟	トゥイティー
崔圭夏	崔圭夏
崔浩	崔浩
崔颢	崔コウ
崔健	崔健
崔烈	崔烈
崔林	崔林
崔龙海	崔竜海
崔龙洙	崔龍洙
崔民秀	チェ・ミンス
崔岷植	チェ・ミンシク
崔琦	ダニエル・ツイ
崔述	崔述
崔天凯	崔天凱
崔姓	崔
崔琰	崔エン
崔宇植	チェ・ウシク
崔元英	チェ・ウォニョン
崔允英	チェ・ユニョン (1986年生の女優)
崔哲瀚	崔哲瀚
崔真理	ソルリ
崔致远	崔致遠
崔智友	チェ・ジウ
崔杼	崔杼
催产素	オキシトシン
催化剂	触媒
催眠	催眠
催乳素	プロラクチン
淬火	焼入れ
萃取	抽出
翠菊	エゾギク
翠峦区	翠巒区
翠鸟	カワセミ亜目
翠屏区	翠屏区
翠玉白菜	翠玉白菜
村川梨衣	村川梨衣
村井良大	村井良大
村井每早	村井かずさ
村山富市	村山富市
村上凛	村上凛
村上隆	村上隆
村上幸平	村上幸平
村松康雄	村松康雄
村田步	村田あゆみ
村田太志	村田太志
村田雄介	村田雄介
村田知沙	村田知沙
村下孝藏	村下孝蔵
村镇	村落
村正	村正
存储程序	ストアドプロシージャ
存款	預金
存取控制	アクセス制御
存有	エッセ
存在	存在
存在主义	実存主義
寸	寸
嵯峨浩	嵯峨浩
嵯峨天皇	嵯峨天皇
嵯峨野	嵯峨野
措美县	ツォメ県
措勤县	ツォチェン県
错那县	ツォナ県
哒嗪	ピリダジン
达巴瓦拉	ダッバーワーラー
达坂城区	達坂城区
达川区	達川区
达达主义	ダダイスム
达恩	ダーン
达尔罕茂明安联合旗	ダルハン・ムミンガン連合旗
达尔汗	ダルハン市
达尔文	ダーウィン
达夫	ダフ (曖昧さ回避)
达喀尔拉力赛	ダカール・ラリー
达卡	ダッカ
达克效应	ダニング＝クルーガー効果
达拉斯牛仔	ダラス・カウボーイズ
达拉特旗	ダラト旗
达赖喇嘛	ダライ・ラマ
达兰萨拉	ダラムシャーラー
达累斯萨拉姆	ダルエスサラーム
达鲁花赤	ダルガチ
达罗毗荼人	ドラヴィダ人
达摩克利斯	ダモクレス
达默	ダンメ
达能	ダノン
达宁期	ダニアン
达人	タレント
达日县	達日県
达沙替尼	ダサチニブ
达索系统	ダッソー・システムズ
达特茅斯学院	ダートマス大学
达瓦党	イスラーム・ダアワ党
达文波特	ダベンポート
达沃市	ダバオ
达沃斯	ダボス
达斡尔族	ダウール族
达乌里寒鸦	コクマルガラス
达延汗	ダヤン・ハーン
达因	ダイン
达州市	達州市
达孜县	タクツェ県
妲己	妲己
鞑靼人	タタール
打	ダース
打刀	打刀
打地鼠	モグラ叩き
打嗝	しゃっくり
打鬼	ゆうやみ特攻隊
打击乐器	打楽器
打孔卡	パンチカード
打屁股	尻叩き
打破碗花花	シュウメイギク
打水漂	水切り
打西瓜	スイカ割り
打雪仗	雪合戦
打印机	プリンター
打字机	タイプライター
大	大
大安	大安
大安的列斯群岛	大アンティル諸島
大安市	大安市
大安溪	大安渓
大巴山	大巴山脈
大白菜	ハクサイ
大白鲸	ムーの白鯨
大白鹭	ダイサギ
大白鲨	ホホジロザメ
大白象	白象 (動物)
大白熊犬	グレート・ピレニーズ
大班	大班
大般若经	大般若波羅蜜多経
大阪城	大坂城
大阪大学	大阪大学
大阪府	大阪府
大阪市	大阪市
大阪站	大阪駅
大宝	大宝
大宝积经	大宝積経
大鸨	ノガン
大堡礁	グレート・バリア・リーフ
大报	ブランケット判
大爆炸	ビッグバン
大悲咒	大悲心陀羅尼
大贝尔特海峡	大ベルト海峡
大本真基子	大本眞基子
大本钟	ビッグ・ベン
大壁虎	トッケイヤモリ
大波斯菊	オオハルシャギク
大博弈	グレート・ゲーム
大不敬	不敬罪
大不里士	タブリーズ
大埔	大埔
大埔县	大埔県
大部	大部
大藏省	大蔵省
大草原	プレーリー
大柴旦行政区	大柴旦行政委員会
大柴胡汤	大柴胡湯
大肠	大腸
大厂回族自治县	大廠回族自治県
大臣家	大臣家
大成	大成
大城	大城
大城府	アユタヤ県
大城县	大城県
大乘佛教	大乗仏教
大乘起信论	大乗起信論
大川透	大川透
大慈恩寺	大慈恩寺
大村	大村
大村智	大村智
大戴礼记	大戴礼記
大丹犬	グレート・デーン
大刀	大刀
大岛渚	大島渚
大稻埕	大稲テイ
大德	大徳
大德寺	大徳寺
大地	大地
大地丙太郎	大地丙太郎
大地测量学	測地学
大地惊雷	勇気ある追跡
大地水准面	ジオイド
大地艺术	ランド・アート
大地之歌	大地の歌
大帝	大帝
大帝国	大帝国
大定	大定
大东区	大東区
大东亚战争	大東亜戦争
大动脉炎	大動脈炎症候群
大都会	メトロポリス (曖昧さ回避)
大都市	メトロポリス
大豆	ダイズ
大豆油	大豆油
大独裁者	独裁者 (映画)
大杜鹃	カッコウ
大渡河	大渡河
大渡口区	大渡口区
大耳狐	オオミミギツネ
大饭店	グランド・ホテル (映画)
大方县	大方県
大分	大分
大分裂	大シスマ
大分三神	大分トリニータ
大分市	大分市
大分水岭	グレートディヴァイディング山脈
大分县	大分県
大芬村	大芬村
大丰	大豊
大丰市	大豊市
大峰山	大峰山
大佛	大仏
大福	大福
大富豪	大富豪
大根兰	マヤラン
大公	大公
大公报	大公報
大宫女	グランド・オダリスク
大沽口炮台	大沽砲台
大谷翔平	大谷翔平
大谷育江	大谷育江
大鼓	バスドラム
大关	大関 (曖昧さ回避)
大关县	大関県
大观	大観
大观区	大観区
大观园	大観園
大规模定制	マスカスタマイゼーション
大规模杀伤性武器	大量破壊兵器
大国	列強
大海牛	ステラーカイギュウ
大海雀	オオウミガラス
大海蛇	シーサーペント
大寒	大寒
大韩民国	大韓民国
大汉族主义	大漢民族主義
大号	チューバ
大和	大和 (曖昧さ回避)
大和市	大和市
大河	大河
大河之舞	リバーダンス
大黑摩季	大黒摩季
大黑天	マハーカーラ
大红灯笼高高挂	紅夢
大红鹳	オオフラミンゴ
大洪水	大洪水
大湖地区	アフリカ大湖沼
大花草科	ラフレシア科
大花四照花	ハナミズキ
大花紫薇	バナバ
大华银行	ユナイテッド・オーバーシーズ銀行
大化改新	大化の改新
大化瑶族自治县	大化ヤオ族自治県
大黄鸭	ラバー・ダック (ホフマン)
大灰藓	ハイゴケ
大吉岭茶	ダージリン・ティー
大极乐鸟	オオフウチョウ
大戟	タカトウダイ
大戟科	トウダイグサ科
大纪元时报	大紀元
大祭司	大祭司
大加那利岛	グラン・カナリア島
大家鼠	クマネズミ属
大甲溪	大甲渓
大江	大江
大江健三郎	大江健三郎
大将	上級大将
大将军	大将軍 (曖昧さ回避)
大奖赛	グランプリ
大酱汤	テンジャンチゲ
大蕉	プランテン
大角岑生	大角岑生
大角鹿	オオツノシカ
大角星	アークトゥルス
大角羊	ビッグホーン
大结局	最終回
大金	大金
大金石	チャイティーヨー・パゴダ
大津巴布韦	グレート・ジンバブエ遺跡
大津市	大津市
大久保利通	大久保利通
大久保忠教	大久保忠教
大久保忠世	大久保忠世
大臼齿	大臼歯
大菊花	メガニウム
大军区	軍区 (中国人民解放軍)
大君	大君
大开眼戒	アイズ ワイド シャット
大康	太康 (遼)
大科学	巨大科学
大空翼	大空翼
大空直美	大空直美
大口真神	真神
大堀彩	大堀彩
大快活	大快活
大拉翅	大拉翅
大里	大里
大理白族自治州	大理ペー族自治州
大理国	大理国
大理石	大理石
大理市	大理市
大力水手	ポパイ
大荔县	大茘県
大连北站	大連北駅
大连大学	大連大学
大连地铁	大連地下鉄
大连海事大学	大連海事大学
大连海洋大学	大連海洋大学
大连华信	大連華信コンピュータ
大连话	大連語
大连交通大学	大連交通大学
大连理工大学	大連理工大学
大连路站	大連路駅
大连民族学院	大連民族学院
大连市	大連市
大连湾	大連湾
大连医科大学	大連医科大学
大连银行	大連銀行
大连站	大連駅
大林姬鼠	ハントウアカネズミ
大凌河	大凌河
大流士	ダレイオス
大流士三世	ダレイオス3世
大六壬	六壬神課
大陆	陸
大陆会议	大陸会議
大陆集团	コンチネンタル (自動車部品製造業)
大陆架	大陸棚
大陆军	大陸軍 (アメリカ)
大陆漂移学说	大陸移動説
大陆性气候	大陸性気候
大鹿	大鹿
大麻哈鱼	サケ
大麻科	アサ科
大麻素	カンナビノイド
大马士革	ダマスカス
大麦	オオムギ
大麦茶	麦茶
大满贯	グランドスラム
大帽山	大帽山
大蜜蜂	ギャラガ
大名县	大名県
大明	大明
大明会典	大明会典
大明律	大明律
大明寺	大明寺
大魔术师	大魔術師"X"のダブル・トリック
大暮维人	大暮維人
大南	大南
大脑皮质	大脳皮質
大闹天宫	大暴れ孫悟空
大内	大内
大宁县	大寧県
大砲	砲兵
大盆地	グレートベースン
大平正芳	大平正芳
大坪由佳	大坪由佳
大迫勇也	大迫勇也
大浦安娜	大浦あんな
大崎知仁	大崎知仁
大旗	大旗
大气层	大気圏
大气电学	大気電気学
大气化学	大気化学
大气科学	大気科学
大千世界	三千大千世界
大前锋	パワーフォワード
大前研一	大前研一
大秦	大秦
大秦帝国	大秦帝国
大秦寺	大秦寺
大青岛	大青島
大青鲨	ヨシキリザメ
大清河	大清河
大庆市	大慶市
大庆油田	大慶油田
大庆站	大慶駅 (黒龍江省)
大泉洋	大泉洋
大犬座	おおいぬ座
大人	大人 (曖昧さ回避)
大熔炉	人種のるつぼ
大瑞铁路	大瑞線
大三巴牌坊	聖ポール天主堂跡
大三度	長三度
大三元	大三元
大山	大山
大商集团	大商グループ
大上海	ラスト・シャンハイ
大舌舔	ベロベルト
大蛇	大蛇
大蛇丸	大蛇丸 (NARUTO)
大赦	恩赦
大神	大神
大石	大石
大石桥市	大石橋市
大石站	大石駅 (広州市)
大史	マハーワンサ
大使	大使
大士	大士
大事件	ブレイキング・ニュース (映画)
大势至菩萨	勢至菩薩
大手町	大手町
大暑	大暑
大数定律	大数の法則
大顺	大順
大司马	大司馬
大松博文	大松博文
大蒜素	アリシン
大太刀	大太刀
大逃杀	バトル・ロワイアル
大逃亡	ザ・グレイト・エスケープ
大提琴	チェロ
大天鹅	オオハクチョウ
大天狗	大天狗
大田	大田
大田广域市	大田広域市
大田区	大田区
大田市	大田市
大田县	大田県
大通回族土族自治县	大通回族トゥ族自治県
大通区	大通区
大同	大同
大同江	大同江
大同区	大同区
大同日报	大同日報
大同市	大同市
大同县	大同県
大同站	大同駅
大统一理论	大統一理論
大头贴	プリント倶楽部
大头针	ピンズ
大屠杀	大量虐殺
大腿	太股
大屯路东站	大屯路東駅
大屯山	大屯山
大洼县	大窪県
大宛	大宛
大王燕	オオスバメ
大望路站	大望路駅
大隈重信	大隈重信
大胃王	早食い・大食い
大尉	上級大尉
大汶口文化	大モン口文化
大吴风草	ツワブキ
大武口区	大武口区
大悟县	大悟県
大西庇阿	スキピオ・アフリカヌス
大西健晴	大西健晴
大西洋	大西洋
大西洋城	アトランティックシティ
大西洋宪章	大西洋憲章
大西洋洋中脊	大西洋中央海嶺
大溪	大渓
大溪地	タヒチ島
大溪文化	大渓文化
大仙	大仙 (曖昧さ回避)
大仙人掌地雀	オオサボテンフィンチ
大祥区	大祥区
大萧条	世界恐慌
大小	大小
大校	上級大佐
大协奏曲	合奏協奏曲
大新县	大新県
大猩猩	ゴリラ
大行皇帝	大行天皇
大行政区	大行政区
大型工程	メガプロジェクト
大型计算机	メインフレーム
大兴	大興
大兴安岭	大興安嶺山脈
大兴安岭地区	大興安嶺地区
大兴区	大興区
大兴善寺	大興善寺
大雄的大魔境	ドラえもん のび太の大魔境
大熊湖	グレートベア湖
大熊猫	ジャイアントパンダ
大熊座	おおぐま座
大学士	内閣大学士
大雪	大雪
大巽他群岛	大スンダ列島
大亚湾	大亜湾
大亚湾核电站	大亜湾原子力発電所
大岩蛇	イワーク
大岩桐	グロキシニア
大盐湖	グレートソルト湖
大眼睛	ビッグ・アイズ
大雁塔	大雁塔
大洋城	セベロクリリスク
大洋路	グレートオーシャン・ロード
大洋深处	白鯨のいた海
大洋洲	オセアニア
大姚县	大姚県
大冶市	大冶市
大野克夫	大野克夫
大野智	大野智
大义	大義 (年号)
大义觉迷录	大義覚迷録
大邑县	大邑県
大英百科全书	ブリタニカ百科事典
大英博物馆	大英博物館
大英帝国	イギリス帝国
大英县	大英県
大英雄	地上最強のエキスパートチーム G.I.ジョー
大友花恋	大友花恋
大友克洋	大友克洋
大有	大有
大余县	大余県
大隅良典	大隅良典
大御所	大御所
大元	大元
大元帅	大元帥
大垣城	大垣城
大原	大原
大原崇	大原崇
大原惠	大原めぐみ
大原沙耶香	大原さやか
大圆	大圏コース
大圆满	ゾクチェン
大院君	大院君
大月薰	大月薫
大跃进	大躍進政策
大云寺	大雲寺
大运河	京杭大運河
大灾难	患難時代
大宰府	大宰府
大泽乡起义	陳勝・呉広の乱
大寨	大寨 (曖昧さ回避)
大寨村	大寨
大战略	大戦略
大昭寺	トゥルナン寺
大沼心	大沼心
大针蜂	スピアー (ポケモン)
大震撼	ディープインパクト (競走馬)
大正	大正
大正浪漫	大正ロマン
大正天皇	大正天皇
大政府	大きな政府
大治	大治
大中祥符	大中祥符
大仲马	アレクサンドル・デュマ・ペール
大众宝来	フォルクスワーゲン・ボーラ
大众传播	マスコミュニケーション
大众高尔夫	フォルクスワーゲン・ゴルフ
大众辉腾	フォルクスワーゲン・フェートン
大众集团	フォルクスワーゲングループ
大众甲壳虫	フォルクスワーゲン・タイプ1
大众捷达	フォルクスワーゲン・ジェッタ
大众朗逸	フォルクスワーゲン・ラヴィーダ
大众帕萨特	フォルクスワーゲン・パサート
大众汽车	フォルクスワーゲン
大众尚酷	フォルクスワーゲン・シロッコ
大众途安	フォルクスワーゲン・トゥーラン
大众途观	フォルクスワーゲン・ティグアン
大众途锐	フォルクスワーゲン・トゥアレグ
大洲城	大洲城
大竹	大竹
大竹忍	大竹しのぶ
大竹县	大竹県
大竹英雄	大竹英雄
大椎穴	大椎穴
大字	大字
大字报	大字報
大自在天	大自在天
大足区	大足区
大足石刻	大足石刻
大嘴乌鸦	ハシブトガラス
大祚荣	大祚栄
呆毛	アホ毛
逮捕	逮捕
代	代
代表	代表
代表作	マグヌム・オプス
代达罗斯	ダイダロス
代打	代打
代代木	代々木
代顿	デイトン
代尔夫特	デルフト
代尔祖尔	デリゾール
代尔祖尔省	デリゾール県
代工生产	OEM
代号	コードネーム
代郡	代郡
代理	代理
代理服务器	プロキシ
代理模式	Proxy パターン
代码风格	プログラミング作法
代码复用	コードの再利用
代码混淆	難読化コード
代码审查	コードレビュー
代码页	コードページ
代码重构	リファクタリング (プログラミング)
代森锌	ジネブ
代数	代数学
代数簇	代数多様体
代数方程	代数方程式
代数基本定理	代数学の基本定理
代数几何	代数幾何学
代数结构	代数的構造
代数数域	代数体
代数拓扑	代数的位相幾何学
代田稔	代田稔
代县	代県
代谢	代謝
代永翼	代永翼
代孕	代理母出産
代宗	代宗
代罪羔羊	スケープゴート
岱庙	岱廟
