# Chinese → Japanese learner glosses
# Source: lxl66566/Japanese-Chinese-thesaurus final.json
# Upstream: https://github.com/lxl66566/Japanese-Chinese-thesaurus
# License: The Unlicense
# Method: invert concise Chinese gloss segments and intersect bundled Moran dictionaries
# Format: Chinese<TAB>Japanese; multiple Japanese forms use ・
# Generated: 2026-08-28
啊	おお・やあ
工厂	工場
工厂直销	アウトレット
工场	工場
工程	工事
工程师	エンジニア・技師
工地	現場
工夫	時間
工匠	職人手艺人
工具	ツール・具
工人	労働者
工事	工事
工薪族	サラリーマン
工业	工業
工艺品	工芸品・細工
工艺制作	工芸
工装裤	ジーンズ
工资	給与・給料
工作	ビジネス・作業
工作单位	所属・職場
工作地点	勤め先
工作岗位	職場
工作人员	スタッフ・係員
工作日	ウイークデー
工作室	スタジオ
公安局	警察・警察署
公布	披露・掲示
公车	バス
公告栏	掲示板
公共	公・公衆
公共汽车站	停留所
公共澡堂	銭湯
公馆	邸宅
公害	公害
公交车站	停留所
公开	公・公開
公筷	取りばし
公历	新暦・西暦
公平	公正
公平的	フェア
公启	御中
公式	公式・式
公事	公務
公司内	社内
公司职员	会社員・社員
公文	文書
公务	公務
公务员	公務員・役人
公演	興行
公营	公営
公用电话	公衆電話
公寓	アパート
公元	西暦
公正	公平
公正无私	明朗
公众	公衆
公子哥	坊ちゃん
功夫	手間
功能	働き・機能
功效	効果・効用
功业	功績
攻击	アタック・撃つ
攻来	襲来
攻占	乗っ取る
供参考	参考
供奉	祭る
供给	給与
供应	供給・納める
宫保鸡丁	宮保鶏丁
恭贺	おめでとうございます
恭敬	丁寧
恭维	おべっか・奉る
恭维话	お世辞
恭喜	おめでとうございます
巩固	固める
共处	共存
共计	トータル・合わせて
共鸣	共感
共通	共通
共同	ともに・共に
共同点	共通点
共同负责	連帯
共同研讨	討議
贡献	寄与・捧げる
勾起	そそる
沟	溝
沟通	コミュニケーション・交渉
狗	犬
构成	なす・形作る
构思	仕組む・構想
构造	構造・機構
购买	仕入れ・買います
购买意向	購買傾向
购物	ショッピング・買い物します
购物袋	レジ袋
购物中心	ショッピングセンター
够呛	大変ですね
够受的	大変ですね
够用	足る・間に合う
估计	見当・見積もり
估计错误	見損なう
估价	見積もり・鑑定
姑且	とにかく・とりあえず
姑且不论	ともあれ・格別
姑且不说	ともあれ
姑息	容赦
孤单的	寂しい
孤身一人	一人ぼっち
古代	古代
古典的	クラシック
古典音乐	クラシック
古典作品	古典
古都	古都
古怪	風変わり
古怪的	突飛
古籍	古典
古今	古今
古老的	古い
古琴	琴
古镇	古鎮
谷物	穀物
股份	株式
股价	株価
股票	株・株式
股票价格	株価
股长	係長
骨骼	骨
骨架大	大柄
骨气	根性
骨肉至亲	肉親
骨头	骨
骨折	骨折
骨子里	本質
鼓出	膨れる
鼓劲	元気づける
鼓励	励まし・励ます
鼓起	こんもり・膨らむ
鼓掌	拍手
鼓胀	孕む
固定	一定・固まる
固执	固執・執拗
固执的	頑な
固执己见	言い張る
故而	ゆえに
故事	物語・［お］話
故乡	国・故郷
故意	わざと・わざわざ
故障	トラブル・故障
顾及	顧みる
顾忌	憚る
顾客	客
顾虑	気を使う
顾问	顧問
雇	雇う
雇佣	雇う
雇用	雇用
刮	剃る
挂	吊す・吊る
挂念	心配・案ずる
挂上	引っかける
挂着	引っかける
挂住	引っ掛かる
乖僻	捩れる
拐角	曲がり角・角
拐弯	折れます・曲がる
拐杖	杖
怪不得	道理で
关	消す・閉まります
关闭	閉ざす・閉じる
关掉	オフ・消します
关怀	配慮・関心
关键	中枢・壺
关键时刻	瀬戸際
关联	繋がり・連なる
关门时间	門限
关西	関西
关系	つながり・仲
关系不好	不仲
关系到	連なる
关系好	仲良し
关系密切	接近
关心	労わる・心遣い
关于	関する
关照	世話をする
关注	睨む・視聴
观测	観測
观察	監視・観察
观点	見地
观光	見物・観光
观光胜地	観光地
观看	眺める・見る
观念	アイデア・観念
观赏	ご覧
观众	視聴者
官署	役所
官位	位
官员	役人
冠军	チャンピオン・覇権
莞尔	にっこり
馆长	館長
管	構う・筒
管道	パイプ
管教	躾
管理	コントロール・保管
管弦乐	オーケストラ
贯彻	徹する・貫く
贯彻到底	押し通す
贯彻始终	徹底
惯例	お決まり・型
灌输	吹き込む・教え込む
罐	つぼ
罐头	缶詰
罐子	缶
光	光
光顾	愛顧
光滑	さらりと・すべすべ
光脚	裸足
光景	光景・有様
光亮	光・艶
光荣	栄光
光太郎	光太郎
光头	坊主
光秃秃	坊主
光线	光・明かり
光一	光一
光阴	年月
广播	アナウンス・ラジオ
广播电台	放送局
广播员	アナウンサー
广场	広場
广泛的	幅広い・広い
广告	びら・ピーアール
广告词	キャッチフレーズ
广告公司	広告代理店
广告节目	シーエム
广告收入	広告収入
广州	広州
逛街	ショッピング
归根结底	やがて
归还	戻す・返します
归纳	まとまる・取りまとめる
龟裂	亀裂
规尺	定規
规定	一定・所定
规范	節度
规划	計画
规矩	マナー・決まり
规模	スケール・規模
规则	コード・ルール
规章	法規・規律
规章制度	心得
鲑鱼	サーモン
鬼	おばけ
鬼怪	鬼
鬼鬼祟祟	こそこそ
柜	戸棚
柜台	カウンター
柜子	ロッカー
贵的	高い
贵公司	御社・貴社
贵国	［お］国
贵社	御社・貴社
贵校	貴校
贵行	御行・貴行
贵族	貴族
跪拜礼	下座
滚来滚去	転がる
滚下	転落
棍子	棒
锅	鍋
国产	国産
国会	国会
国籍	国籍
国际	インターナショナル・国際
国际关系	国際関係
国际交流	国際交流
国际社会	国際社会
国际象棋	チェス
国家	国家
国家体制	国体
国境	国境
国立	国立
国立大学	国立大学
国民	国民
国内	国内
国内旅行	国内旅行
国内生产总值	GDP
国手	名人
国土	国土
国外	国外・海外
国王	国王・王様
国营	国営
果酱	ジャム
果酒	果実酒
果然	いかにも・やはり
果如所料	案の定
果实	実・果実
果汁	ジュース
裹	包む
过	渡る
过半	過半数
过程	プロセス・経過
过程中	途中
过错	落ち度・過失
过道	廊下・通路
过得去	済む
过度	行き過ぎる・過激
过度保护	過保護
过度的	無闇
过多	過剰
过分	あまり・あんまり
过分的	無闇
过火	過激
过几天	そのうち・近々
过滤器	フィルター
过敏	アレルギー
过敏反应	アレルギー
过期杂志	バックナンバー
过去	かって・かつて
过失	落ち度・過ち
过夜	明かす・泊まり
过一会儿	後ほど
过意不去	恐縮
过于	あまりに・いやに
过于敏感	過敏
哈哈	げらげら
哈哈大笑	からから・げらげら
哈欠	あくび
咳嗽	せき・咳
还	まだ・まだまだ
还差得远	［いいえ、］まだまだです
还好	未だしも
还击	反撃
还价	値切る
还钱	返金
还是	それとも
还算	まあまあ
还算可以	未だしも
还用	そして
还有	さては・それから
还原	返る
还账	返金
海拔	高度
海报	ポスター
海滨	浜
海底	海底
海路	海路
海面	海面
海上	海上
海水	海水
海水浴	海水浴
海苔	海苔
海外	海外
海碗	どんぶり
海啸	津波
海洋	海
海藻	のり・海苔
害	害
害处	害
害怕	危惧・怖がる
害羞	恥らう・照れる
酣睡	ぐっすり
鼾声	鼾
含	なめる
含糊	濁す
含糊的	不確か・曖昧
含税	税込み
含有	含む・含める
寒潮	寒波
寒碜	貧弱
寒风	木枯らし
寒假	冬休み
寒冷	寒い・寒さ
寒流	寒波
寒气	寒気
寒舍	あばら家
寒暄	挨拶
韩	韓
韩国	韓国
罕见的	珍しい
汉堡包	ハンバーガー
汗水	汗
旱地	畑
旱田	畑
捍卫	防衛
杭州	杭州
航空	飛行
航空信件	エアメール
航天飞机	スペースシャトル
航线	ライン
航站楼	ターミナル
薅	毟る
毫	ちっとも
毫不动摇	びくとも
毫不顾忌	露骨
毫不吝惜	惜しまず
毫无	皆無
毫无办法	お手上げ
毫无道理	無茶
豪华	豪華
好	いい（よい）・よし
好不容易	せっかく
好不容易才	すれすれ・どうやら
好吃的	うまい・おいしい
好处	利点
好的	宜しい・良い
好恶	好き嫌い
好好地	きちんと・ちゃんと
好坏	清濁・良し悪し
好价钱	いい値段
好久	久しい
好久不见	ごぶさたする
好啦	さあ
好了好了	まあまあ
好朋友	仲良し・親友
好奇	物好き
好奇心	好奇心
好日子	吉日
好事	善・物好き
好说话	おしゃべり
好天气	快晴
好像	あたかも・さも
好呀	いいですね・いいですよ
好意	好意
好用	利く/効く
好友	親友
好转	立ち直る
号码	ナンバー・番号
号码牌	ナンバー
号外	エキストラ
耗费	費やす
耗尽	消耗
耗子	ネズミ
喝	召し上がります・頂戴
喝彩	喝采
喝完	干す
喝足	満喫
喝醉	酔う
嗬	ほう
合并	合わせる・合同
合唱	コーラス・歌声
合唱团	コーラス
合成	複合
合法	正当
合格	パス・合格します
合格与否	合否
合伙人	パートナー
合计	トータル・合わせる
合口味	口に合う
合理	もっとも・合理
合上	畳む・閉じる
合适	しっくり・似合う
合适的	ふさわしい
合同	契約
合意	お気に召す
合在一起	合わす
合资	合弁
合作	協調・連帯
何	だれですか/何ですか
何故	なぜ
何况	まして
和蔼	愛想
和服	和服
和好	仲直り・握手
和解	妥協
和睦相处	折り合う
和平运动	平和活動
和尚	僧侶・坊主
和谐	調和
和谐的	和やか
河川	河川
河堤	土手
河流	川・河川
核对	合わす・照らし合わせる
核实	確認する
核武器	核兵器
核心	軸
荷尔蒙	ホルモン
盒饭	弁当
盒子	ケース
贺年卡	年賀状
鹤	鶴
黑	ブラック・黒
黑暗	真っ暗
黑白	白黒
黑客	ハッカー
黑路	夜道
黑色	ブラック・黒
黑色的	黒い
黑田	黒田
黑眼圈	隈
痕迹	名残・跡
很	さも・とても
很抱歉	すみません
很不高兴	しぶしぶ
很大	甚大
很多	たくさん
很感兴趣	興味深い
很近	直
很快	さっと・ざっと
很快地	ぐんぐん
很少	めったに
很早之前	先々
狠狠地	さんざん
恨	恨み・恨む
哼唱	口ずさむ
横冲直撞	暴れる
横穿过	横切る
横渡	横断
横纲	横綱
横亘	横たわる
横跨	跨る
横向	横
横行	横行
横着切	横断
轰隆声	ごろごろ
轰鸣	唸る
哄骗	騙す
烘干	干す・炙る
红	こう
红斑	痣
红豆	小豆
红豆沙	こしあん
红利	賞与
红绿灯	信号
红色	赤
红肿	咎める
红字	赤字
宏大	壮大
洪水	大水・洪水
喉咙	喉・喉元
猴子	猿
吼	吠える
吼叫	咆哮・唸る
后	うしろ
后半	後半
后半部分	後半
后背	背・背中
后边	お尻
后代	子孫
后悔	悔いる・悔やむ
后进	後輩
后来	やがて
后路	退路
后门	コネ
后面	うしろ・陰
后视镜	サイドミラー
后嗣	跡継ぎ
后藤	後藤
后天	あさって・明後日
后腿	後ろ足
后退	下がる・尻込み
后援	バックアップ
后者	後者
后肢	後ろ足
厚脸皮	ずうずうしい・横着
厚颜无耻	ずうずうしい
候补	候補
候鸟	渡り鳥
候选人	候補
呼喊声	叫び声
呼唤	呼びかける・呼びます
呼叫	呼びます・呼び出し
呼声	叫び
呼吸	息
呼啸	唸る
呼吁	アピール・呼び掛ける
忽略	見落とす
忽然	さっと・たちまち
忽视	無視・軽んじる
囫囵吞枣	鵜呑み
狐狸	キツネ
胡椒	コショウ・胡椒
胡搅蛮缠	絡む
胡来	無茶
胡乱	無茶
胡闹	でたらめ・めちゃくちゃ
胡说八道	でたらめ
胡思乱想	妄想
胡同	路地
胡子	ひげ
湖边	浜辺
湖泊	湖
湖心	沖
糊	ペースト・焦げる
糊涂	呆ける/惚ける
虎	虎
互打	打ち合う
互换	交換・取り替える
互相	交える・交互に
互相接触	触れ合う
互相揭短	泥仕合
互相矛盾	相容れない
互相协作	心を1つにする
互助	助け合う
户	世帯
户外	室外・屋外
护理	介護・看病
护士	看護婦・看護師
护养	養護
护照	パスポート
花	花
花茶	花茶
花费	かかります・掛かる
花光	使い切る
花甲	還暦
花蕾	蕾
花蜜	蜜
花瓶	花瓶
花生	ピーナッツ
花生米	ビーナッツ
花束	花束
花坛	花壇
花样	模様
花招儿	演技
花砖	タイル
花子	花子
哗啦	ざっと
哗啦哗啦	ざあざあ
华而不实	飾り
华丽	派手
华丽的	華々しい・華やか
滑	滑る
滑动	スライド
滑稽	ユーモア
滑溜溜	すべすべ
滑坡	崖崩れ
滑下	滑り落ちる
滑行	スライド・滑ります
滑雪	スキー
化开	解凍
化石	化石
化为	化ける
化学	化学
化验	分析
化妆	化粧
化妆品	化粧品
划	漕ぐ
划分	区分・区切る
划拳	じゃんけん
划伤	切り傷
画	描く・絵
画家	画家
画面	画面
画面质量	画質
话	言葉・話
话剧	芝居
话说	ところで
话虽如此	尤も
话题	トピック
话筒	マイク
话语	文句
怀念	懐かしい・郷愁
怀石料理	懐石料理
怀疑	不信・不審
怀孕	孕む・宿る
怀孕期间	マタニティー
坏	割れる・壊れます
坏的	悪い
坏话	悪口
坏天气	悪天候
欢呼雀跃	沸騰
欢送会	お別れ会
欢喜	喜ぶ
欢迎	迎えます
欢迎光临	いらっしゃいませ・よくいらっしゃいました
欢迎会	レセプション
欢迎再来	またお越しください
环	輪
环保	エコロジー
环保运动	エコ
环境	環境
环境破坏	環境破壊
环境问题	環境問題
缓和	緩む・緩和
缓和下来	和らぐ
缓慢	もたもた
缓慢的	緩い・緩やか
缓期	猶予
幻想	ビジョン・夢見る
唤醒	起こします・起こす
换	変えます
换班	シフト
换车	乗り換えます・乗り換える
换成	「を」→「は」・た形
换乘	乗り換え・乗り換える
换个说法	言い直す
换句话说	言い換える
换气	換気
换钱	両替
换言之	すなわち
换衣服	衣替え
患	罹る
患病	冒す・患う
患者	病人
荒废	荒れる
荒谬	めちゃくちゃ・もってのほか
荒谬的	ばかばかしい
荒谬至极	言語道断
荒唐	ばか・出鱈目
荒芜	荒れる・荒廃
荒原	原
慌乱	パニック・取り乱す
慌忙	あわただしい
慌张	あわただしい・そわそわ
黄瓜	きゅうり
黄昏	夕闇
黄金周	ゴールデンウィーク
黄色	黄色い
黄油	バター
晃动	ゆらゆら・揺さぶる
谎言	うそ・嘘
幌子	売り物
灰烬	灰
灰蒙蒙	もうもう
灰色	グレー・灰色
灰心	げっそり
灰心丧气	がっかりする・萎れる
诙谐	ジョーク・滑稽
恢复	カムバック・収まる
恢复精神	リフレッシュ
恢复体力	力づく
恢复原状	還元
挥动	スイング
挥霍	擂り潰す
挥舞	振り回す
辉煌的	輝かしい
辉耀	輝く
徽章	バッジ
回	度
回避	回避・敬遠
回答	応じる・答える
回到	戻ります・戻る
回电话	返信
回复	回答・返事
回公司	帰社
回顾	振り返る・顧みる
回家	帰ります・戻る
回看	見返す
回来	帰り・帰る
回来的时候	帰り
回礼	お礼
回路	回路
回去	帰ります・帰る
回升	反発・立ち直る
回头	振り向く
回头看	振り返る
回响	響く
回想	回想
回形针	クリップ
回忆	思い出
回忆起	思い出す・浮かべる
回音	反響
回转	回転
悔恨	無念
毁坏	崩れる・潰す
汇合	集まり
汇集	集まり・集まる
汇款	振り込み・振り込む
汇总	取りまとめる
会	できます・行ける
会计	会計
会见	おめにかかる（お目にかかる）拜会，见面，会见・お目にかかる
会面	面会
会谈	対談
会演	コンテスト
会议	ミーティング・会議
会议室	会議室
会长	会長
绘本	絵本
绘画	絵画
贿赂	賄賂
喙	嘴
惠顾	愛顧
昏暗	暗い
昏暗的	薄暗い
婚纱	ウエディングドレス
婚事	縁談
婚宴	披露宴
浑身	身内
浑浊	どんより
混合	かき混ぜる・取り混ぜる
混合词	混種語
混合酒	カクテル
混进	紛れる
混乱	ごたごた・パニック
混凝土	コンクリート
混入	入り込む
混熟	馴れる
混淆	混同・紛れる
混杂	混ざる・紛れる
混在一起	混在
混装	詰め合わせる
豁出去	投げ出す
活蹦乱跳	ぴんぴん
活动	イべント・イベント
活力	バイタリティー・元気
活泼的	勇ましい・動的
活人	生身
活生生的	生々しい
活性化	活性化
活性炭	活性炭
活用	た形・可能形式
活跃	活発・活躍する
火	火
火柴	マッチ
火车	列車・汽車
火车站	ステーション
火锅	鍋物
火候	火加減
火箭	ロケット
火辣辣	かんかん・ひりひり
火力	火力
火冒三丈	むかむか
火苗	炎
火山	火山
火势	火力
火速	一刻も早く・早急
火头	火加減
火星	火星
火焰	炎
火灾	火事・火災
伙伴	パートナー・仲間
伙食费	食費
或	あるいは・または
或是	或いは
或许	ひょっとしたら・もしかしたら
或者	あるいは・それとも
货车	貨物
货柜	コンテナー
货摊	屋台
货物	貨物
获得	博する・手に入れる
获利	儲かる・金儲け
获取	博する
获胜	優勝
击败	やっつける・打ち破る
击中要害	ずばり
叽叽咕咕	ぼそぼそ
叽叽喳喳	囀る
饥饿	飢える
饥荒	飢饉
机舱内	機内
机场	エアポート・飛行場
机构	システム・機関
机关	仕掛け・機関
机会	きっかけ・チャンス
机能	機能
机票	航空券
机器	器械・機械
机器猫	ドラえもん
机器人	ロボット
机器运转	稼働/稼動
机身	ボディ・本体
机务员	乗組員
机械	機器/器機・機械
机翼	翼
机遇	チャンス
机智	ウイット
机种	機種
肌肤	肌
肌肉	筋肉
肌肉酸痛	凝る
鸡蛋	卵
鸡肉	とり肉
鸡尾酒	カクテル
积存	たまる・溜まる
积极	前向き
积极地	進んで
积极性	意欲
积累	積み重ねる・積もる
积累起来	積み上げる
积食	凭れる
积蓄	貯める・貯蓄
积攒	溜める・積もります
基本上	ほとんど
基本形	动词的简体形
基本知识	アルファベット
基础	ベース・土台
基地	ベース・基地
基于	基づく
基准	ベース・目安
基准点	原点
激动	興奮
激发	燃やす
激光	レーザー
激化	激化
激活	活性化
激励	励ます
激烈	激しい・猛烈
激烈的	ひどい
激起	くすぐる
激情	情熱
激素	ホルモン
羁绊	絆
及	及ぶ
及格	受かる・合格
及时的	速やか
吉日	吉日
吉他	ギター
即	つまり
即时	即時
即是	すなわち
即兴	場当たり
极	ごく
极大的	限りない
极端	極端
极好的	素晴らしい
极尽	極める
极乐世界	極楽
极其	極めて・甚だ
极其容易	朝飯前
极少	めったに
极限	ぎりぎり・限り
极小的	ちっぽけ
急	至急
急病	急病
急不可待	苛立つ
急促	弾む
急救车	救急車
急剧	めっきり
急剧变化	がらりと
急剧的	爆発的
急剧增长	急騰
急忙	あわただしい・すたすた
急事	急用
急速	急激
急性子	慌て者
急躁	焦る
疾病	病
疾驰	飛ばす
棘手	やっかい・手こずる
集大成	集大成
集合	集まり・集まります
集会	イベント・集会
集齐	揃う
集团	グループ・団体
集中	こめる・こらす
集中注意力	澄ます/清ます
集装箱	コンテナー
嫉妒	妬む・羨む
嫉恨	妬む
籍贯	出身
几点	何時
几多	幾多
几分	何分
几个	いくつ・いくつか
几号	何日・何番
几乎	ほとんど・ほぼ
几句话	ひと言
几楼	何階
几日	何日
几岁	何歳
几天	数日
几月	何月
挤	絞る
挤出	押し出す・捻出
挤紧	詰める
挤进	進出
挤满	溢れる・詰まる
挤破	潰れる
脊檩	棟
计划	プラン・プログラム
计较	拘り
计量器	メーター
计时员	タイマー
计算	勘定・数える
计算机	コンピューター・計算機
计算机病毒	ウイルス
计算机软件	ソフト
记号	印・目印
记录	書き取る・記録
记事本	手帳
记下来	書き留める・筆記
记忆	メモリー・覚え
记忆卡	メモリカード
记在心里	心掛ける
记载	記録・載る
记者	ジャーナリスト・レポーター
记住	覚えます・覚える
纪律	規律
纪念册	アルバム
纪念品	景品
忌惮	憚る
技巧	テクニック・手際
技师	技師
技术	テクノロジー・技
技术开发	技術開発
技术知识	ノウハウ/ノーハウ
技术指导	コーチ
技艺	テクニック
季节	シーズン・季節
既然	一旦
迹象	気配・跡
继承	受け継ぐ・引き継ぐ
继承者	跡継ぎ
继任	相続
继续	引き続き・積み重ねる
寂静	しんみり
寂寞	退屈
寂寞的	寂しい
寄出	差し出す・発送
寄存	預ける
寄到	届きます
寄来	寄越す
寄生	宿る
寄送	発送します
寄宿	下宿
寄宿家庭	ホームステイ
寄托	寄せる
悸动	鼓動
加	加わる・足す
加把劲儿	一息
加班	居残る・残業します
加倍	ダブル
加法	足し算
加工	加工
加害	傷害
加号	プラス
加急	特急・至急
加剧	激化
加快	急ぐ・速める
加强	増強・強化
加热	暖める・暖める/温める
加入	加味
加上	プラス・添加
加深	深化
加速	速める
加速器	アクセル
加温	暖める
加薪	賃上げ
加油	頑張る
加佐料	加味
夹	挟む
夹克衫	ジャンパー
夹起	撮む/抓む/摘む
夹杂	交える・混ざる
夹子	クリップ
茄子	茄子
家	ホーム・家庭
家常菜	家庭料理
家常饭菜	家庭料理
家道	暮らし
家风	家風
家伙	野郎
家家户户	軒並み
家教	家庭教師
家境	暮らし
家具	家具
家人	家族・親兄弟
家属	家内
家庭	ホーム・世帯
家庭教师	家庭教師
家庭主妇	主婦
家务活	家事
家用电器	家電製品
家政人员	お手伝いさん
家族	家族
嘉宾	ゲスト
戛然而止	ばったり
甲壳	甲
岬	岬
假称	称する
假的	仮
假话	うそ・嘘
假期	バカンス
假日	祝日
假如	もしも
假设	仮・仮定
假托	構える
假想	想定
假造	偽造
假装	振り・装う
假装没看见	瞑る
榎本	榎本
价高	高価
价格	価格
价格上涨	値上がり
价款	代金
价钱	値段
价值	ありがたさ・かい
驾驶	操る・運転します
驾驶证	運転免許
驾驶执照	運転免許
驾驭	制御
驾照	免許
架桥	橋渡し
架上	架ける
架设	架かる
架线	配線
奸计	手品
奸诈	ずるい
尖	尖る
尖端	先端
尖儿	先
尖锐	鋭い
尖锐的	シャープ
尖酸	とげ・棘
尖细	とがる
尖子	エリート
坚持	言い張る
坚持不懈	粘る
坚持到底	押し切る・押し通す
坚持己见	突っ張る
坚定	固める
坚固	ハード
坚决	強気・断固
坚韧不拔	粘り
坚挺	硬化
间断	途切れる
间隔	仕切る・切れ目
间隙	隙
间歇	合間
肩	肩
肩膀	肩
艰苦	辛い
艰险的	険しい
兼	兼ねる
兼备	兼ね備える・兼備
兼具	兼備
兼任	兼ねる・非常勤
兼营	兼業
兼职	アルバイト・兼ねる
监督	取り締まる・監督
监事	重役
监视	監視・見張る
监视器	モニター
监狱	刑務所
缄	〆
煎锅	フライパン
捡	拾う
减法	引き算
减肥	ダイエット
减价	割引
减轻	減らす
减轻体重	減量
减去	差し引き・差し引く
减弱	弱める
减少	削減・縮める
减退	冷める・薄れる
剪	切ります
剪刀	はさみ
剪发	カット
检查	チェック・検査
检察官	検事・検察官
检票口	改札口
检验	チェック
简单	単純・易しい
简单的	ささやか・シンプル
简历	履歴書
简朴	質素
简言之	要するに
简直	なんて・まったく
见不得人	日陰
见地	見地
见解	見方
见面	おめにかかる（お目にかかる）拜会，见面，会见・お目にかかる
见识	見聞・見識
见习	実習
件数	件数・点数
建	建・建ちます
建馆	開館
建立	樹立
建立关系	結ぶ
建议	アドバイス・助言
建造	建てます
建筑	建築
建筑物	建物・建造物
剑	剣
健康	まめ・元気
健康的	ヘルシー・健やか
健康检查	健康診断
健康饮料	健康飲料
健康状态	体調
健朗	ぴんぴん
健全	健康
健全的	健全
健身法	健康法
健身房	スポーツジム
健谈	おしゃべり
健忘	物忘れ
健壮	がっしり・しっかり
健壮的	健やか・逞しい
渐渐	ぼつぼつ・徐々に
渐渐地	次第に
鉴别	見分ける
鉴湖	鑒湖
鉴赏	受容
鉴赏力	見識
键盘	キーボード
箭	矢
箭头	矢印
江户	江戸
江南	江南
江南古镇	江南古鎮
江泽民	江沢民
将近	やがて
将就	済ます
将来	先々・前途
将要	まさに
疆界	境界
讲	しゃべる・物語る
讲话	話・［お］話
讲价	値切る・負かす
讲解	講習
讲究	凝る・拘る
讲清楚	解明する
讲师	講師
讲授	講習
讲述	物語る
讲说	講じる
讲坛	ステージ・演壇
讲堂	講堂
讲义	講義
讲座	講座
奖金	ボーナス・賞与
奖励	褒美
奖品	賞品
奖赏	賞金
奖章	メダル
降低	下がります・下がる
降价	値引き
降落	下落
降下	下げる
降薪	減給
酱	ペースト
犟	強情
糨糊	糊
交叉	交える・交わす
交错	交わす・擦れ違う
交锋	対戦・対決
交付	交付・納品
交给	交付・寄越す
交互	互いに
交换	やりとり・チェンジ
交货	納品
交货时间	納期
交际	交わる・交際
交接	バトンタッチ・引き継ぐ
交流	コミュニケーション・交流
交纳	収める・払い込む
交情	仲
交涉	交渉
交谈	語り合う
交替	互いに・交互に
交通规则	交通規則
交通网络	交通網
交往	交わる・付き合い
交易	取引
交易额	取引高
交易所	取引所
郊区	郊外
郊外	郊外・野外
郊游	ハイキング・ピクニック
娇生惯养	ちやほや
浇	掛ける
骄傲	傲慢・誇り
骄傲自大	うぬぼれる
胶卷	フィルム
胶囊	カプセル
胶皮管	ホース
焦	焦げる
焦点	焦点
焦急	いらいら・苛立つ
焦躁不安	気をもむ
角	方角・角
角度	視点・角度
角落	コーナー・方角
角色	役・役割
侥幸	幸せ・幸運
狡猾	ずるい
矫正	正す
脚	足
脚本	台本
脚步	歩み・足
脚步声	足音
脚底	足元
脚下	足元/足下
脚印	足跡
搅拌	かき混ぜる・混ぜる
搅乱	掻き回す・搔き乱す
缴纳	払い込む・納める
缴纳期限	納期
叫	吠える
叫出	呼び出す
叫法	呼び方
叫喊	叫び
叫停	呼び止める
叫醒	目覚まし・起こす
叫住	呼び止める
叫作	言う
教鞭	鞭
教材	教材
教导	指南・指導
教会	教会
教诲	説教・諭す
教科书	テキスト・教科書
教练	コーチ
教师	教員・教師
教授	授ける
教堂	教会
教徒	信者
教学	教授
教育	しつける・教育
教员	教員・教官
酵素	酵素
阶层	階級
阶段	ステージ・区切り
接班人	跡継ぎ
接触	コンタクト
接触点	接点
接待	もてなす・待遇
接点	接点
接二连三	次々
接缝	継ぎ目
接见	会見
接近	アプローチ
接连不断	続き・連続
接球	キャッチ
接上	接する・継ぐ
接收	キャッチ・受け取る
接受	もらいます・もらう
接送	送り迎え
接续	形容词的副词性用法・接続
接着	すると・次に
接种	接種
接踵而来	次々
接住	受ける・受け止める
揭穿	ばらす
揭发	暴く
揭开	捲る
揭露	明かす・暴く
揭下	剥がす・剥ぐ
揭晓	明かす・発表
街道	街
街景	町並み
街头	街角・辻
节点	節目
节电	節電
节目	プログラム
节庆	［お］祭り
节日	お祭り・フェスティバル
节省	倹約・省く
节食	ダイエット
节约	セーブ・始末
节制	慎む・控えめ
节奏	リズム・呼吸
劫持飞机	ハイジャック
杰作	傑作・名作
洁白的	真っ白い
结	なる
结冻	凍る
结构	メカニズム・仕掛け
结果	実る・実を結ぶ
结合	即す・即する
结合起来	結び付ける
结合在一起	結び付く
结婚	結婚します
结婚纪念日	結婚記念日
结晶	結晶
结局	終い
结论	結論
结盟	同盟
结识	知り合い・知り合う
结实	がっしり・がっちり
结实的	丈夫
结束	お開き・上がり
结算	決済・決算
结尾	末
结余	残高
结帐	会計
结账	勘定・決済
桔子	みかん
睫毛	まつげ
截断	断つ
截面	断面
截止	締め切り・締め切る
竭尽全力	力いっぱい・懸命
姐姐	お姉さん・お姉ちゃん
姐妹	いとこ・姉妹
解除	取れる・晴らす
解除合同	解約
解答	答える・解く
解雇	解雇・追い出す
解决	処理・打開
解开	解ける
解释	訳する・説く
解体	解散
介绍	斡旋・紹介します
戒	戒める
戒掉	止す
戒指	指輪
芥川龙之介	芥川龍之介
芥末	わさび
届满	締め切り
界	境
界限	制限・枠
借	借ります・貸します
借贷	融通
借给	貸す
借口	理屈
借款	借金
借入	借り入れる
借助	借りる
今后	後
今年	ことし
今日	本日
今天	きょう・今日
今天晚上	今晩
今天早晨	今朝
今天早上	けさ
今晚	今夜
金额	金額・額
金刚石	ダイヤモンド／ダイヤ
金阁寺	金閣寺
金桂	キンモクセイ
金库	金庫
金钱	金銭
金枪鱼	マグロ
金融	ファイナンス・金融
金属	金属
金属板	构造
金鱼	金魚
金泽	金沢
金子	金子
金字塔	ピラミッド
津贴	手当て
筋	筋
仅	ただ・たった
仅仅	わずか・単なる
尽管	たとえ
尽管那样	それなのに・とはいえ
尽管如此	それでも・それにしても
尽可能	せいぜい・できるだけ
尽快	一刻も早く・折り返し
尽力	出し切る・努める
